Day,Month,Year,Open,High,Low,Close,Adj Close,Volume
10,Dec,2007,"20,074.92","20,095.69","19,834.01","19,930.68","19,930.68","10,200"
7,Dec,2007,"20,063.50","20,094.56","19,706.43","19,966.00","19,966.00","14,800"
6,Dec,2007,"20,018.17","20,064.31","19,716.57","19,795.87","19,795.87","14,800"
5,Dec,2007,"19,628.85","19,790.92","19,560.68","19,738.07","19,738.07","14,600"
4,Dec,2007,"19,707.59","19,707.86","19,482.34","19,529.50","19,529.50","14,400"
3,Dec,2007,"19,547.09","19,619.44","19,446.68","19,603.41","19,603.41","12,800"
30,Nov,2007,"19,136.12","19,424.99","19,006.89","19,363.19","19,363.19","13,800"
29,Nov,2007,"19,290.67","19,297.01","18,930.31","19,003.26","19,003.26","13,400"
28,Nov,2007,"19,316.76","19,316.76","18,884.20","18,938.87","18,938.87","11,000"
27,Nov,2007,"19,128.86","19,211.58","19,019.33","19,127.73","19,127.73","8,800"
26,Nov,2007,"19,171.25","19,360.23","19,137.66","19,247.54","19,247.54","11,400"
23,Nov,2007,"18,737.22","18,910.46","18,548.06","18,852.87","18,852.87","14,000"
22,Nov,2007,"18,724.11","18,744.55","18,182.83","18,526.32","18,526.32","19,800"
21,Nov,2007,"19,197.57","19,218.88","18,515.30","18,602.62","18,602.62","16,600"
20,Nov,2007,"19,510.94","19,714.22","19,196.42","19,280.80","19,280.80","14,400"
19,Nov,2007,"19,895.49","19,971.44","19,583.97","19,633.36","19,633.36","12,600"
16,Nov,2007,"19,603.09","19,838.03","19,472.51","19,698.36","19,698.36","19,000"
15,Nov,2007,"19,947.72","19,967.08","19,723.20","19,784.89","19,784.89","19,200"
14,Nov,2007,"19,336.96","19,987.71","19,336.96","19,929.06","19,929.06","20,800"
13,Nov,2007,"18,681.10","19,210.48","18,636.21","19,035.48","19,035.48","23,200"
12,Nov,2007,"18,640.52","18,815.11","18,333.21","18,737.27","18,737.27","22,800"
8,Nov,2007,"19,110.40","19,209.91","18,917.40","19,058.93","19,058.93","16,400"
7,Nov,2007,"19,552.53","19,678.50","19,249.47","19,289.83","19,289.83","13,600"
6,Nov,2007,"19,689.79","19,919.34","19,337.85","19,400.67","19,400.67","18,000"
5,Nov,2007,"20,009.35","20,009.35","19,502.45","19,590.78","19,590.78","19,000"
2,Nov,2007,"19,364.61","20,025.63","19,255.77","19,976.23","19,976.23","19,200"
1,Nov,2007,"20,130.23","20,204.21","19,634.47","19,724.35","19,724.35","26,000"
31,Oct,2007,"19,827.40","19,984.13","19,735.21","19,837.99","19,837.99","31,000"
30,Oct,2007,"20,103.44","20,238.16","19,694.85","19,783.51","19,783.51","20,600"
29,Oct,2007,"19,621.39","20,024.87","19,621.39","19,977.67","19,977.67","20,600"
26,Oct,2007,"18,823.66","19,276.45","18,629.53","19,243.17","19,243.17","23,200"
25,Oct,2007,"18,519.23","18,900.10","18,459.51","18,770.89","18,770.89","23,200"
24,Oct,2007,"18,727.90","18,832.49","18,317.17","18,512.91","18,512.91","25,200"
23,Oct,2007,"17,910.30","18,542.41","17,910.30","18,492.84","18,492.84","21,600"
